J226	MN	2014	PRJNA279196	SAMN05751698	CP017159	SRR5829830,SRR5829876
J227	MN	2014	PRJNA279196	SAMN07352215		SRR5829771,SRR5829817
J228	MN	2014	PRJNA279196	SAMN07352216		SRR5829856,SRR5829871
J229	MN	2014	PRJNA279196	SAMN07352217		SRR5829787,SRR5829862
J230	MN	2014	PRJNA279196	SAMN05716056	CP017926	SRR5829744,SRR5829747
J294	MN	2014	PRJNA279196	SAMN06007542	CP018039	SRR5829738,SRR5829767
J313	MN	2014	PRJNA279196	SAMN06007545	CP018042	SRR9006209
J317	MN	2015	PRJNA279196	SAMN10176196	CP032978	SRR9118318
J318	MN	2015	PRJNA279196	SAMN10161200	CP032735	SRR9118319
J319	MN	2015	PRJNA279196	SAMN10176197	CP032977	SRR9118320
J340	MN	2015	PRJNA279196	SAMN11822220		SRR9118309
J341	MN	2015	PRJNA279196	SAMN10176198	CP032976	SRR9118310
J342	MN	2015	PRJNA279196	SAMN11822221		SRR9118287
J387	MN	2015	PRJNA279196	SAMN11822231		SRR9118262
J388	MN	2015	PRJNA279196	SAMN10176205	CP032970	SRR9118263
J389	MN	2015	PRJNA279196	SAMN11822232		SRR9118477
J392	MN	2015	PRJNA279196	SAMN08395646	CP026468	SRR9006238
J395	MN	2015	PRJNA279196	SAMN11822234		SRR9118475
J399	MN	2015	PRJNA279196	SAMN10176206	CP032969	SRR9118472
J420	MN	2015	PRJNA279196	SAMN10298217	CP033414	SRR9118455
J421	MN	2015	PRJNA279196	SAMN10176214	CP032961	SRR9118456
J422	MN	2015	PRJNA279196	SAMN10176215	CP032960	SRR9118413
J423	MN	2015	PRJNA279196	SAMN11822242		SRR9118412
J425	MN	2015	PRJNA279196	SAMN11822243		SRR9118415
J449	MN	2016	PRJNA279196	SAMN11822250		SRR9118368
J450	MN	2016	PRJNA279196	SAMN10298220	CP033411	SRR9118369
J451	MN	2016	PRJNA279196	SAMN10176221	CP032954	SRR9118366
J452	MN	2016	PRJNA279196	SAMN10176222	CP032953	SRR9118367
J453	MN	2016	PRJNA279196	SAMN10176223	CP032952	SRR9118384
J597	MN	2016	PRJNA279196	SAMN10161214	CP032722	SRR9131670
J598	MN	2016	PRJNA279196	SAMN10161215	CP032721	SRR9131654
J600	MN	2016	PRJNA279196	SAMN10161216	CP032720	SRR9131655
J601	MN	2016	PRJNA279196	SAMN10161217	CP032719	SRR9131656
J709	MN	2016	PRJNA279196	SAMN11822376		SRR9131540
J710	MN	2016	PRJNA279196	SAMN11822377		SRR9131713
J713	MN	2016	PRJNA279196	SAMN11822378		SRR9131712
J714	MN	2016	PRJNA279196	SAMN11822379		SRR9131715
J715	MN	2016	PRJNA279196	SAMN11822380		SRR9131714
J723	MN	2017	PRJNA279196	SAMN11822386		SRR9131706
J726	MN	2017	PRJNA279196	SAMN11822387		SRR9131600
J727	MN	2017	PRJNA279196	SAMN11822388		SRR9131601
J730	MN	2017	PRJNA279196	SAMN11822389		SRR9131602
J731	MN	2017	PRJNA279196	SAMN11822390		SRR9131603
J732	MN	2016	PRJNA279196	SAMN11822391		SRR9131604
J787	MN	2017	PRJNA279196	SAMN11822416		SRR9131616
J788	MN	2017	PRJNA279196	SAMN11822417		SRR9131623
J789	MN	2017	PRJNA279196	SAMN11822418		SRR9131622
J791	MN	2017	PRJNA279196	SAMN11822419		SRR9131621
J831	MN	2017	PRJNA279196	SAMN11822437		SRR9131644
J832	MN	2017	PRJNA279196	SAMN11822438		SRR9131647
J833	MN	2017	PRJNA279196	SAMN11822439		SRR9131646
J834	MN	2017	PRJNA279196	SAMN11822440		SRR9131608
J836	MN	2017	PRJNA279196	SAMN10182684	CP033293	SRR9988837
J841	MN	2017	PRJNA279196	SAMN12589396		SRR9997167
J845	MN	2017	PRJNA279196	SAMN12589398		SRR9997169
J850	MN	2017	PRJNA279196	SAMN12589399		SRR9997168
J855	MN	2017	PRJNA279196	SAMN10182695	CP033283	SRR9988818
J968	MN	2017	PRJNA279196	SAMN12523712		SRR9988730
J979	MN	2017	PRJNA279196	SAMN12589484		SRR10002514
J984	MN	2017	PRJNA279196	SAMN12589487		SRR10002466
J994	MN	2017	PRJNA279196	SAMN12589492		SRR10002461
J996	MN	2017	PRJNA279196	SAMN12589494		SRR10002457
K039	MN	2018	PRJNA279196	SAMN12523719		SRR9988825
K044	MN	2018	PRJNA279196	SAMN12589513		SRR10002380
K049	MN	2018	PRJNA279196	SAMN12523726		SRR9988822
K054	MN	2018	PRJNA279196	SAMN12523731		SRR9988786
K059	MN	2018	PRJNA279196	SAMN12108485		SRR9589910
K184	MN	2018	PRJNA279196	SAMN11539638		SRR9002913
K185	MN	2018	PRJNA279196	SAMN11539639		SRR9002914
K185	MN	2018	PRJNA279196	SAMN11539639		SRR9002914
K190	MN	2018	PRJNA279196	SAMN11539644		SRR9002815
K195	MN	2018	PRJNA279196	SAMN11539649		SRR9002822
K200	MN	2018	PRJNA279196	SAMN11539654		SRR9002886
K205	MN	2018	PRJNA279196	SAMN11539659		SRR9002881
K210	MN	2018	PRJNA279196	SAMN11539664		SRR9002907
K215	MN	2018	PRJNA279196	SAMN11539669		SRR9002902
K339	MN	2018	PRJNA279196	SAMN12108514		SRR9589857
K344	MN	2018	PRJNA279196	SAMN12108519		SRR9589862
K349	MN	2018	PRJNA279196	SAMN12108524		SRR9589876
K354	MN	2018	PRJNA279196	SAMN12108529		SRR9589879
K358	MN	2018	PRJNA279196	SAMN12108533		SRR9589872
K363	MN	2018	PRJNA279196	SAMN12108538		SRR9589847
K369	MN	2018	PRJNA279196	SAMN12108543		SRR9589840
K419	MN	2019	PRJNA279196	SAMN12305702		SRR9718365
K424	MN	2019	PRJNA279196	SAMN12305707		SRR9718370
K429	MN	2019	PRJNA279196	SAMN12305712		SRR9718383
K434	MN	2019	PRJNA279196	SAMN12912179		SRR10247378
K434	MN	2019	PRJNA279196	SAMN12912179		SRR10247378
